GE [26.885, 26.88, 26.935, 26.9401, 26.99, 26.9435, 26.93, 26.925, 26.917, 26.88, 26.9, 26.905, 26.915, 26.9253, 26.96, 26.925, 26.96, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.91, 26.82]
GS [198.88, 198.53, 198.64, 198.66, 198.8, 198.615, 199.01, 199.0203, 198.96, 199.03, 199.04, 198.94, 198.79, 198.52, 198.53, 198.29, 198.35, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.32, 198.43]
HD [112.88, 112.75, 112.67, 112.6387, 112.76, 112.77, 112.785, 112.84, 112.827, 112.9, 112.94, 113.0, 113.04, 113.06, 113.11, 112.97, 112.955, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 112.99, 113.43]
INTC [32.21, 32.16, 32.18, 32.22, 32.28, 32.2639, 32.3, 32.34, 32.3251, 32.345, 32.3073, 32.315, 32.3699, 32.36, 32.395, 32.34, 32.41, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.23]
IBM [165.65, 165.55, 165.57, 165.6, 165.8575, 165.82, 165.95, 165.6, 165.6, 165.46, 165.2707, 165.56, 165.59, 165.6298, 165.68, 165.3316, 165.34, 165.34, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 165.36, 166.7]
JNJ [100.48, 100.4549, 100.51, 100.53, 100.67, 100.69, 100.71, 100.77, 100.695, 100.7, 100.675, 100.63, 100.635, 100.635, 100.7, 100.535, 100.5, 100.45, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.43, 100.128]
JPM [62.95, 62.88, 62.94, 62.97, 63.08, 63.02, 63.11, 63.06, 63.01, 63.085, 63.08, 63.105, 63.08, 63.02, 63.06, 62.95, 62.97, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.94, 62.75]
MCD [97.172, 97.0, 97.31, 97.675, 97.7, 97.41, 98.03, 98.05, 97.9036, 97.9, 98.14, 97.9599, 97.95, 98.05, 98.05, 97.8499, 97.83, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.84, 97.43]
MRK [57.699, 57.68, 57.7158, 57.7, 57.74, 57.793, 57.79, 57.8, 57.775, 57.78, 57.81, 57.805, 57.78, 57.75, 57.75, 57.76, 57.6932, 57.675, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.69, 57.19]
MSFT [43.08, 43.0, 43.04, 42.995, 43.0658, 43.0458, 43.085, 43.09, 43.021, 43.025, 43.0456, 43.065, 43.09, 43.059, 43.089, 43.0, 43.005, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 42.985, 43.06]
